구분	자원·기관	지원영역	연락처	비고
교내	담임·교과 교사 협의	전체		수업·생활 관찰 정보 공유, 1차 지지자원
교내	전문상담(교)사·Wee클래스	심리·정서		개인상담, 심리검사, 위기 개입
교내	보건교사(보건실)	건강		건강 상태 확인, 의료기관 안내
교내	진로전담교사	학업·진로		진로상담, 취업·현장실습 관련 지원
교내	교육복지사(배치교)	가정·환경, 경제		교육복지우선지원사업 대상 관리, 지역 연계
교내	교내 장학·지원 사업	경제		장학금, 급식·방과후 지원 등(행정실·담당부서 확인)
지역	학생맞춤통합지원센터(교육지원청)	전체	관할 교육지원청 확인	학교 자체 해결이 어려운 사례의 심층 진단·지역자원 연계 요청 창구
지역	Wee센터(교육지원청)	심리·정서	관할 교육지원청 확인	전문적 심리평가·상담 의뢰
지역	청소년상담복지센터	심리·정서, 가정·환경	1388	청소년 위기 상담, 통합지원(CYS-Net)
지역	정신건강복지센터(시·군·구)	심리·정서, 건강	지역별 확인	정신건강 사례관리, 치료 연계
지역	학교밖청소년지원센터(꿈드림)	출결·학업중단	지역별 확인	학업중단(예정) 청소년 지원
지역	청소년쉼터	가정·환경	1388 연계	가출·주거 위기 청소년 보호
지역	행정복지센터(주민센터)	경제	지역별 확인	교육급여·긴급복지 등 복지제도 신청
지역	지역 장학재단·복지기관	경제	지역별 확인	장학금, 결연 후원, 물품 지원
긴급	아동학대 신고	가정·환경	112	교직원은 신고의무자
긴급	학교폭력 신고·상담	대인관계·학교폭력	117
긴급	자살예방 상담전화	심리·정서	109	24시간
긴급	청소년전화	전체	1388	24시간, 문자·카카오톡 상담 병행
긴급	보건복지상담센터	경제, 건강	129	복지제도 전반 안내
긴급	여성긴급전화	가정·환경	1366	가정폭력·성폭력 피해
